TANGGAL,TN,TX,TAVG,RR,SS,RH_AVG,BULAN,Hasil_KNN,Label_KNN,TN_norm,TX_norm,TAVG_norm,RR_norm,SS_norm,RH_AVG_norm,BULAN_norm,TN_norm_kemarin,TX_norm_kemarin,TAVG_norm_kemarin,SS_norm_kemarin,RH_AVG_norm_kemarin,Algoritma_Terpilih,Prediksi_Final_Cuaca,Label_Prediksi,Cluster_Iklim
2024-07-17,23.8,33.2,27.1,0.1,4.5,84.0,7.0,1,Hujan,0.4750000000000005,0.6750000000000007,0.4000000000000003,0.0006578947368421,0.5421686746987951,0.4871794871794871,0.5454545454545454,0.375,0.5749999999999993,0.3250000000000002,0.8072289156626505,0.6923076923076923,Naive Bayes,1,Hujan,1
2024-07-18,25.9,32.2,28.9,0.5,3.8,74.5,7.0,0,Tidak Hujan,1.0,0.4250000000000007,0.8499999999999996,0.0032894736842105,0.4578313253012047,0.0,0.5454545454545454,0.4750000000000005,0.6750000000000007,0.4000000000000003,0.5421686746987951,0.4871794871794871,Naive Bayes,0,Tidak Hujan,0
2024-07-19,23.0,33.2,27.4,0.0,7.4,77.0,7.0,0,Tidak Hujan,0.2750000000000003,0.6750000000000007,0.4749999999999996,0.0,0.891566265060241,0.1282051282051282,0.5454545454545454,1.0,0.4250000000000007,0.8499999999999996,0.4578313253012047,0.0,Naive Bayes,0,Tidak Hujan,1
2024-07-20,23.2,32.2,27.4,0.0,8.0,83.0,7.0,0,Tidak Hujan,0.3250000000000002,0.4250000000000007,0.4749999999999996,0.0,0.9638554216867468,0.4358974358974359,0.5454545454545454,0.2750000000000003,0.6750000000000007,0.4749999999999996,0.891566265060241,0.1282051282051282,Naive Bayes,0,Tidak Hujan,1
2024-07-21,21.9,32.6,27.9,7.5,6.5,77.0,7.0,0,Tidak Hujan,0.0,0.5250000000000004,0.5999999999999996,0.0493421052631578,0.7831325301204819,0.1282051282051282,0.5454545454545454,0.3250000000000002,0.4250000000000007,0.4749999999999996,0.9638554216867468,0.4358974358974359,Naive Bayes,0,Tidak Hujan,1
2024-07-22,24.0,32.6,28.1,0.0,5.0,84.0,7.0,0,Tidak Hujan,0.5250000000000004,0.5250000000000004,0.6500000000000004,0.0,0.6024096385542168,0.4871794871794871,0.5454545454545454,0.0,0.5250000000000004,0.5999999999999996,0.7831325301204819,0.1282051282051282,Naive Bayes,0,Tidak Hujan,1
2024-07-23,24.6,32.4,26.9,11.0,1.3,86.0,7.0,0,Tidak Hujan,0.6750000000000007,0.4749999999999996,0.3499999999999996,0.0723684210526315,0.1566265060240964,0.5897435897435898,0.5454545454545454,0.5250000000000004,0.5250000000000004,0.6500000000000004,0.6024096385542168,0.4871794871794871,Naive Bayes,1,Hujan,0
2024-07-24,23.6,32.0,27.0,0.1,0.0,82.0,7.0,0,Tidak Hujan,0.4250000000000007,0.375,0.375,0.0006578947368421,0.0,0.3846153846153846,0.5454545454545454,0.6750000000000007,0.4749999999999996,0.3499999999999996,0.1566265060240964,0.5897435897435898,Naive Bayes,1,Hujan,0
2024-07-25,23.6,32.4,27.2,2.0,3.8,86.0,7.0,1,Hujan,0.4250000000000007,0.4749999999999996,0.4249999999999998,0.0131578947368421,0.4578313253012047,0.5897435897435898,0.5454545454545454,0.4250000000000007,0.375,0.375,0.0,0.3846153846153846,Naive Bayes,1,Hujan,0
2024-07-26,23.8,32.2,27.9,0.1,4.2,81.0,7.0,1,Hujan,0.4750000000000005,0.4250000000000007,0.5999999999999996,0.0006578947368421,0.5060240963855421,0.3333333333333333,0.5454545454545454,0.4250000000000007,0.4749999999999996,0.4249999999999998,0.4578313253012047,0.5897435897435898,Naive Bayes,1,Hujan,0
