TANGGAL,TN,TX,TAVG,RR,SS,RH_AVG,BULAN,Hasil_KNN,Label_KNN,TN_norm,TX_norm,TAVG_norm,RR_norm,SS_norm,RH_AVG_norm,BULAN_norm,TN_norm_kemarin,TX_norm_kemarin,TAVG_norm_kemarin,SS_norm_kemarin,RH_AVG_norm_kemarin,Algoritma_Terpilih,Prediksi_Final_Cuaca,Label_Prediksi,Cluster_Iklim
2024-09-21,27.0,33.2,29.4,0.0,7.6,71.0,9,0,Tidak Hujan,0.7391304347826088,0.5535714285714284,0.6041666666666667,0.0,0.95,0.375,0.7272727272727273,0.6086956521739127,0.4464285714285709,0.5416666666666673,1.0,0.375,KNN,0,Tidak Hujan,1
2024-09-22,27.2,34.4,29.8,0.0,8.0,76.0,9,0,Tidak Hujan,0.7826086956521738,0.767857142857142,0.6875000000000006,0.0,1.0,0.53125,0.7272727272727273,0.7391304347826088,0.5535714285714284,0.6041666666666667,0.95,0.375,KNN,0,Tidak Hujan,1
2024-09-23,26.0,33.4,29.9,0.0,3.6,76.0,9,1,Hujan,0.5217391304347826,0.5892857142857134,0.7083333333333335,0.0,0.45,0.53125,0.7272727272727273,0.7826086956521738,0.767857142857142,0.6875000000000006,1.0,0.53125,KNN,1,Hujan,1
2024-09-24,26.4,33.4,28.0,0.0,4.5,82.0,9,0,Tidak Hujan,0.6086956521739127,0.5892857142857134,0.3125000000000001,0.0,0.5625,0.71875,0.7272727272727273,0.5217391304347826,0.5892857142857134,0.7083333333333335,0.45,0.53125,KNN,0,Tidak Hujan,1
2024-09-25,26.4,33.4,27.3,2.0,2.3,80.0,9,1,Hujan,0.6086956521739127,0.5892857142857134,0.1666666666666669,0.0108225108225108,0.2875,0.65625,0.7272727272727273,0.6086956521739127,0.5892857142857134,0.3125000000000001,0.5625,0.71875,KNN,1,Hujan,0
2024-09-26,23.6,33.0,27.6,44.4,6.2,81.0,9,1,Hujan,0.0,0.5178571428571421,0.2291666666666671,0.2402597402597402,0.775,0.6875,0.7272727272727273,0.6086956521739127,0.5892857142857134,0.1666666666666669,0.2875,0.65625,KNN,1,Hujan,0
2024-09-27,25.0,33.6,28.7,55.0,6.0,81.0,9,1,Hujan,0.3043478260869564,0.6249999999999996,0.4583333333333335,0.2976190476190476,0.75,0.6875,0.7272727272727273,0.0,0.5178571428571421,0.2291666666666671,0.775,0.6875,KNN,1,Hujan,1
2024-09-28,25.6,34.6,30.6,0.0,8.0,73.0,9,0,Tidak Hujan,0.4347826086956524,0.8035714285714283,0.8541666666666675,0.0,1.0,0.4375,0.7272727272727273,0.3043478260869564,0.6249999999999996,0.4583333333333335,0.75,0.6875,KNN,0,Tidak Hujan,1
2024-09-29,27.6,34.4,30.1,0.0,6.3,73.0,9,0,Tidak Hujan,0.8695652173913048,0.767857142857142,0.7500000000000008,0.0,0.7875,0.4375,0.7272727272727273,0.4347826086956524,0.8035714285714283,0.8541666666666675,1.0,0.4375,KNN,0,Tidak Hujan,1
2024-09-30,27.2,34.6,30.1,0.0,7.0,71.0,9,0,Tidak Hujan,0.7826086956521738,0.8035714285714283,0.7500000000000008,0.0,0.875,0.375,0.7272727272727273,0.8695652173913048,0.767857142857142,0.7500000000000008,0.7875,0.4375,KNN,0,Tidak Hujan,1
2024-10-01,26.0,34.2,30.2,0.0,8.0,71.0,10,0,Tidak Hujan,0.5217391304347826,0.7321428571428571,0.7708333333333336,0.0,1.0,0.375,0.8181818181818182,0.7826086956521738,0.8035714285714283,0.7500000000000008,0.875,0.375,KNN,0,Tidak Hujan,1
2024-10-02,27.8,34.0,30.5,0.0,8.0,70.0,10,0,Tidak Hujan,0.9130434782608698,0.6964285714285708,0.8333333333333338,0.0,1.0,0.34375,0.8181818181818182,0.5217391304347826,0.7321428571428571,0.7708333333333336,1.0,0.375,KNN,0,Tidak Hujan,1
2024-10-03,28.2,33.8,30.3,0.1,6.8,69.0,10,0,Tidak Hujan,1.0,0.6607142857142846,0.7916666666666673,0.0005411255411255,0.85,0.3125,0.8181818181818182,0.9130434782608698,0.6964285714285708,0.8333333333333338,1.0,0.34375,KNN,0,Tidak Hujan,1
2024-10-04,27.4,34.6,30.4,0.0,2.2,69.0,10,0,Tidak Hujan,0.8260869565217389,0.8035714285714283,0.8125000000000002,0.0,0.275,0.3125,0.8181818181818182,1.0,0.6607142857142846,0.7916666666666673,0.85,0.3125,KNN,0,Tidak Hujan,1
2024-10-05,26.0,32.6,29.6,0.0,5.4,72.0,10,0,Tidak Hujan,0.5217391304347826,0.4464285714285709,0.645833333333334,0.0,0.675,0.40625,0.8181818181818182,0.8260869565217389,0.8035714285714283,0.8125000000000002,0.275,0.3125,KNN,0,Tidak Hujan,1
2024-10-06,27.2,32.4,29.7,0.1,7.5,72.0,10,0,Tidak Hujan,0.7826086956521738,0.4107142857142847,0.666666666666667,0.0005411255411255,0.9375,0.40625,0.8181818181818182,0.5217391304347826,0.4464285714285709,0.645833333333334,0.675,0.40625,KNN,0,Tidak Hujan,1
2024-10-07,27.0,35.7,30.5,0.0,5.5,62.0,10,0,Tidak Hujan,0.7391304347826088,1.0,0.8333333333333338,0.0,0.6875,0.09375,0.8181818181818182,0.7826086956521738,0.4107142857142847,0.666666666666667,0.9375,0.40625,KNN,0,Tidak Hujan,1
2024-10-08,27.4,34.8,30.6,0.0,8.0,64.0,10,0,Tidak Hujan,0.8260869565217389,0.8392857142857132,0.8541666666666675,0.0,1.0,0.15625,0.8181818181818182,0.7391304347826088,1.0,0.8333333333333338,0.6875,0.09375,KNN,0,Tidak Hujan,1
2024-10-09,26.0,33.8,30.2,0.0,6.8,69.0,10,0,Tidak Hujan,0.5217391304347826,0.6607142857142846,0.7708333333333336,0.0,0.85,0.3125,0.8181818181818182,0.8260869565217389,0.8392857142857132,0.8541666666666675,1.0,0.15625,KNN,0,Tidak Hujan,1
2024-10-10,28.2,34.2,30.9,0.0,8.0,69.0,10,0,Tidak Hujan,1.0,0.7321428571428571,0.916666666666667,0.0,1.0,0.3125,0.8181818181818182,0.5217391304347826,0.6607142857142846,0.7708333333333336,0.85,0.3125,KNN,0,Tidak Hujan,1
2024-10-11,28.2,35.4,31.0,0.0,7.9,68.0,10,0,Tidak Hujan,1.0,0.9464285714285706,0.9375000000000006,0.0,0.9875,0.28125,0.8181818181818182,1.0,0.7321428571428571,0.916666666666667,1.0,0.3125,KNN,0,Tidak Hujan,1
2024-10-12,28.0,34.6,30.6,0.0,8.0,70.0,10,0,Tidak Hujan,0.9565217391304348,0.8035714285714283,0.8541666666666675,0.0,1.0,0.34375,0.8181818181818182,1.0,0.9464285714285706,0.9375000000000006,0.9875,0.28125,KNN,0,Tidak Hujan,1
2024-10-13,26.0,31.4,29.5,0.0,2.6,77.0,10,0,Tidak Hujan,0.5217391304347826,0.2321428571428561,0.6250000000000003,0.0,0.325,0.5625,0.8181818181818182,0.9565217391304348,0.8035714285714283,0.8541666666666675,1.0,0.34375,KNN,0,Tidak Hujan,1
2024-10-14,27.2,32.4,29.6,0.0,0.4,73.0,10,0,Tidak Hujan,0.7826086956521738,0.4107142857142847,0.645833333333334,0.0,0.05,0.4375,0.8181818181818182,0.5217391304347826,0.2321428571428561,0.6250000000000003,0.325,0.5625,KNN,0,Tidak Hujan,0
2024-10-15,27.0,33.2,28.9,2.2,2.5,73.0,10,0,Tidak Hujan,0.7391304347826088,0.5535714285714284,0.5,0.0119047619047619,0.3125,0.4375,0.8181818181818182,0.7826086956521738,0.4107142857142847,0.645833333333334,0.05,0.4375,KNN,0,Tidak Hujan,0
2024-10-16,26.8,34.6,30.0,0.0,3.0,72.0,10,0,Tidak Hujan,0.6956521739130437,0.8035714285714283,0.7291666666666671,0.0,0.375,0.40625,0.8181818181818182,0.7391304347826088,0.5535714285714284,0.5,0.3125,0.4375,KNN,0,Tidak Hujan,1
2024-10-17,25.0,34.0,29.1,0.0,7.3,62.0,10,0,Tidak Hujan,0.3043478260869564,0.6964285714285708,0.5416666666666673,0.0,0.9125,0.09375,0.8181818181818182,0.6956521739130437,0.8035714285714283,0.7291666666666671,0.375,0.40625,KNN,0,Tidak Hujan,1
2024-10-18,26.2,33.6,29.4,0.0,8.0,64.0,10,0,Tidak Hujan,0.5652173913043477,0.6249999999999996,0.6041666666666667,0.0,1.0,0.15625,0.8181818181818182,0.3043478260869564,0.6964285714285708,0.5416666666666673,0.9125,0.09375,KNN,0,Tidak Hujan,1
2024-10-19,27.2,33.2,29.9,0.0,8.0,69.0,10,0,Tidak Hujan,0.7826086956521738,0.5535714285714284,0.7083333333333335,0.0,1.0,0.3125,0.8181818181818182,0.5652173913043477,0.6249999999999996,0.6041666666666667,1.0,0.15625,KNN,0,Tidak Hujan,1
2024-10-20,27.0,35.7,31.1,0.0,8.0,60.0,10,0,Tidak Hujan,0.7391304347826088,1.0,0.958333333333334,0.0,1.0,0.03125,0.8181818181818182,0.7826086956521738,0.5535714285714284,0.7083333333333335,1.0,0.3125,KNN,0,Tidak Hujan,1
2024-10-21,25.0,33.8,30.1,0.0,8.0,64.0,10,0,Tidak Hujan,0.3043478260869564,0.6607142857142846,0.7500000000000008,0.0,1.0,0.15625,0.8181818181818182,0.7391304347826088,1.0,0.958333333333334,1.0,0.03125,KNN,0,Tidak Hujan,1
2024-10-22,27.4,34.6,30.3,0.0,5.7,67.0,10,0,Tidak Hujan,0.8260869565217389,0.8035714285714283,0.7916666666666673,0.0,0.7125,0.25,0.8181818181818182,0.3043478260869564,0.6607142857142846,0.7500000000000008,1.0,0.15625,KNN,0,Tidak Hujan,1
2024-10-23,28.0,34.2,30.4,0.0,8.0,69.0,10,0,Tidak Hujan,0.9565217391304348,0.7321428571428571,0.8125000000000002,0.0,1.0,0.3125,0.8181818181818182,0.8260869565217389,0.8035714285714283,0.7916666666666673,0.7125,0.25,KNN,0,Tidak Hujan,1
2024-10-24,26.0,33.6,29.4,46.6,6.6,74.0,10,0,Tidak Hujan,0.5217391304347826,0.6249999999999996,0.6041666666666667,0.2521645021645021,0.825,0.46875,0.8181818181818182,0.9565217391304348,0.7321428571428571,0.8125000000000002,1.0,0.3125,KNN,0,Tidak Hujan,1
2024-10-25,25.0,33.8,28.2,5.0,2.3,80.0,10,1,Hujan,0.3043478260869564,0.6607142857142846,0.3541666666666667,0.027056277056277,0.2875,0.65625,0.8181818181818182,0.5217391304347826,0.6249999999999996,0.6041666666666667,0.825,0.46875,KNN,1,Hujan,1
2024-10-26,25.4,34.2,30.2,7.6,5.0,68.0,10,1,Hujan,0.3913043478260865,0.7321428571428571,0.7708333333333336,0.0411255411255411,0.625,0.28125,0.8181818181818182,0.3043478260869564,0.6607142857142846,0.3541666666666667,0.2875,0.65625,KNN,1,Hujan,1
2024-10-27,27.4,34.2,30.1,0.0,8.0,71.0,10,0,Tidak Hujan,0.8260869565217389,0.7321428571428571,0.7500000000000008,0.0,1.0,0.375,0.8181818181818182,0.3913043478260865,0.7321428571428571,0.7708333333333336,0.625,0.28125,KNN,0,Tidak Hujan,1
2024-10-28,27.2,34.6,30.2,0.0,8.0,67.0,10,0,Tidak Hujan,0.7826086956521738,0.8035714285714283,0.7708333333333336,0.0,1.0,0.25,0.8181818181818182,0.8260869565217389,0.7321428571428571,0.7500000000000008,1.0,0.375,KNN,0,Tidak Hujan,1
2024-10-29,26.0,34.0,30.8,0.0,0.6,69.0,10,0,Tidak Hujan,0.5217391304347826,0.6964285714285708,0.895833333333334,0.0,0.075,0.3125,0.8181818181818182,0.7826086956521738,0.8035714285714283,0.7708333333333336,1.0,0.25,KNN,0,Tidak Hujan,1
2024-10-30,28.0,34.4,30.9,0.0,6.5,65.0,10,0,Tidak Hujan,0.9565217391304348,0.767857142857142,0.916666666666667,0.0,0.8125,0.1875,0.8181818181818182,0.5217391304347826,0.6964285714285708,0.895833333333334,0.075,0.3125,KNN,0,Tidak Hujan,1
2024-10-31,27.4,34.6,30.4,0.0,6.5,70.0,10,0,Tidak Hujan,0.8260869565217389,0.8035714285714283,0.8125000000000002,0.0,0.8125,0.34375,0.8181818181818182,0.9565217391304348,0.767857142857142,0.916666666666667,0.8125,0.1875,KNN,0,Tidak Hujan,1
2024-11-01,27.4,35.0,30.3,0.0,6.3,68.0,11,0,Tidak Hujan,0.8260869565217389,0.8749999999999994,0.7916666666666673,0.0,0.7875,0.28125,0.9090909090909092,0.8260869565217389,0.8035714285714283,0.8125000000000002,0.8125,0.34375,KNN,0,Tidak Hujan,1
2024-11-02,26.0,34.6,28.9,0.0,2.6,79.0,11,1,Hujan,0.5217391304347826,0.8035714285714283,0.5,0.0,0.325,0.625,0.9090909090909092,0.8260869565217389,0.8749999999999994,0.7916666666666673,0.7875,0.28125,KNN,1,Hujan,1
2024-11-03,25.6,32.8,27.7,24.5,6.2,79.0,11,1,Hujan,0.4347826086956524,0.4821428571428559,0.25,0.1325757575757575,0.775,0.625,0.9090909090909092,0.5217391304347826,0.8035714285714283,0.5,0.325,0.625,KNN,1,Hujan,1
2024-11-04,25.0,31.4,27.6,18.4,5.1,82.0,11,1,Hujan,0.3043478260869564,0.2321428571428561,0.2291666666666671,0.0995670995670995,0.6375,0.71875,0.9090909090909092,0.4347826086956524,0.4821428571428559,0.25,0.775,0.625,KNN,1,Hujan,1
2024-11-05,25.2,33.6,28.6,0.0,2.8,78.0,11,1,Hujan,0.3478260869565214,0.6249999999999996,0.4375000000000005,0.0,0.35,0.59375,0.9090909090909092,0.3043478260869564,0.2321428571428561,0.2291666666666671,0.6375,0.71875,KNN,1,Hujan,1
2024-11-06,25.0,33.4,29.3,14.5,6.0,73.0,11,1,Hujan,0.3043478260869564,0.5892857142857134,0.5833333333333338,0.0784632034632034,0.75,0.4375,0.9090909090909092,0.3478260869565214,0.6249999999999996,0.4375000000000005,0.35,0.59375,KNN,1,Hujan,1
2024-11-07,26.8,33.4,29.5,0.0,3.5,75.0,11,0,Tidak Hujan,0.6956521739130437,0.5892857142857134,0.6250000000000003,0.0,0.4375,0.5,0.9090909090909092,0.3043478260869564,0.5892857142857134,0.5833333333333338,0.75,0.4375,KNN,0,Tidak Hujan,1
2024-11-08,26.8,33.8,30.0,0.0,3.5,70.0,11,0,Tidak Hujan,0.6956521739130437,0.6607142857142846,0.7291666666666671,0.0,0.4375,0.34375,0.9090909090909092,0.6956521739130437,0.5892857142857134,0.6250000000000003,0.4375,0.5,KNN,0,Tidak Hujan,1
2024-11-09,27.8,33.6,29.1,0.0,5.7,76.0,11,0,Tidak Hujan,0.9130434782608698,0.6249999999999996,0.5416666666666673,0.0,0.7125,0.53125,0.9090909090909092,0.6956521739130437,0.6607142857142846,0.7291666666666671,0.4375,0.34375,KNN,0,Tidak Hujan,1
2024-11-10,25.0,33.2,28.7,0.0,4.9,77.0,11,1,Hujan,0.3043478260869564,0.5535714285714284,0.4583333333333335,0.0,0.6125,0.5625,0.9090909090909092,0.9130434782608698,0.6249999999999996,0.5416666666666673,0.7125,0.53125,KNN,1,Hujan,1
2024-11-11,27.2,33.4,28.6,0.0,3.3,79.0,11,0,Tidak Hujan,0.7826086956521738,0.5892857142857134,0.4375000000000005,0.0,0.4125,0.625,0.9090909090909092,0.3043478260869564,0.5535714285714284,0.4583333333333335,0.6125,0.5625,KNN,0,Tidak Hujan,1
2024-11-12,25.4,31.8,28.3,5.6,2.8,80.0,11,1,Hujan,0.3913043478260865,0.3035714285714279,0.3750000000000004,0.0303030303030303,0.35,0.65625,0.9090909090909092,0.7826086956521738,0.5892857142857134,0.4375000000000005,0.4125,0.625,KNN,1,Hujan,0
2024-11-13,26.4,34.8,29.6,1.2,2.4,74.0,11,0,Tidak Hujan,0.6086956521739127,0.8392857142857132,0.645833333333334,0.0064935064935064,0.3,0.46875,0.9090909090909092,0.3913043478260865,0.3035714285714279,0.3750000000000004,0.35,0.65625,KNN,0,Tidak Hujan,1
2024-11-14,26.0,34.6,30.0,0.0,4.6,76.0,11,0,Tidak Hujan,0.5217391304347826,0.8035714285714283,0.7291666666666671,0.0,0.575,0.53125,0.9090909090909092,0.6086956521739127,0.8392857142857132,0.645833333333334,0.3,0.46875,KNN,0,Tidak Hujan,1
2024-11-15,27.2,34.4,30.0,0.0,5.0,73.0,11,0,Tidak Hujan,0.7826086956521738,0.767857142857142,0.7291666666666671,0.0,0.625,0.4375,0.9090909090909092,0.5217391304347826,0.8035714285714283,0.7291666666666671,0.575,0.53125,KNN,0,Tidak Hujan,1
2024-11-16,27.8,32.4,28.6,1.0,3.5,84.0,11,0,Tidak Hujan,0.9130434782608698,0.4107142857142847,0.4375000000000005,0.0054112554112554,0.4375,0.78125,0.9090909090909092,0.7826086956521738,0.767857142857142,0.7291666666666671,0.625,0.4375,KNN,0,Tidak Hujan,1
2024-11-17,26.2,33.6,29.6,7.2,1.2,78.0,11,1,Hujan,0.5652173913043477,0.6249999999999996,0.645833333333334,0.0389610389610389,0.15,0.59375,0.9090909090909092,0.9130434782608698,0.4107142857142847,0.4375000000000005,0.4375,0.78125,KNN,1,Hujan,0
2024-11-18,26.0,32.8,28.6,17.8,3.4,83.0,11,1,Hujan,0.5217391304347826,0.4821428571428559,0.4375000000000005,0.0963203463203463,0.425,0.75,0.9090909090909092,0.5652173913043477,0.6249999999999996,0.645833333333334,0.15,0.59375,KNN,1,Hujan,0
2024-11-19,26.8,34.0,29.2,0.0,5.8,78.0,11,0,Tidak Hujan,0.6956521739130437,0.6964285714285708,0.5625000000000002,0.0,0.725,0.59375,0.9090909090909092,0.5217391304347826,0.4821428571428559,0.4375000000000005,0.425,0.75,KNN,0,Tidak Hujan,1
2024-11-20,26.2,33.6,29.5,8.0,4.4,75.0,11,0,Tidak Hujan,0.5652173913043477,0.6249999999999996,0.6250000000000003,0.0432900432900432,0.55,0.5,0.9090909090909092,0.6956521739130437,0.6964285714285708,0.5625000000000002,0.725,0.59375,KNN,0,Tidak Hujan,1
